Position,Mean,Variance 
6.2244,1.32606,0.411688
6.24,1.32792,0.412042
6.2556,1.3298,0.412436
6.2712,1.33168,0.412822
6.2868,1.33352,0.413175
6.3024,1.33538,0.413553
6.318,1.33724,0.413923
6.3336,1.33909,0.414307
6.3492,1.34093,0.414667
6.3648,1.34276,0.415013
6.3804,1.34457,0.415351
6.396,1.34637,0.415668
6.4116,1.34818,0.415994
6.4272,1.35,0.416357
6.4428,1.35182,0.416714
6.4584,1.3536,0.417035
6.474,1.35537,0.417319
6.4896,1.35711,0.417587
6.5052,1.35886,0.417859
6.5208,1.3606,0.418128
6.5364,1.36232,0.41837
6.552,1.36404,0.418621
6.5676,1.36574,0.41885
6.5832,1.36744,0.419084
6.5988,1.36916,0.419339
6.6144,1.37087,0.419599
6.63,1.37258,0.419859
6.6456,1.3743,0.420126
6.6612,1.37598,0.420352
6.6768,1.37766,0.420584
6.6924,1.37933,0.420797
6.708,1.381,0.421016
6.7236,1.38265,0.421228
6.7392,1.38434,0.421483
6.7548,1.38598,0.42168
6.7704,1.38762,0.421868
6.786,1.38924,0.422045
6.8016,1.39084,0.422199
6.8172,1.39245,0.422369
6.8328,1.39404,0.422512
6.8484,1.39564,0.422674
6.864,1.39722,0.422816
6.8796,1.3988,0.422958
6.8952,1.40041,0.423146
6.9108,1.40202,0.423349
6.9264,1.40362,0.423527
6.942,1.40521,0.423709
6.9576,1.40678,0.423851
6.9732,1.40833,0.423984
6.9888,1.40989,0.424125
7.0044,1.41144,0.424271
7.02,1.41301,0.424434
7.0356,1.41457,0.42459
7.0512,1.41613,0.424753
7.0668,1.41768,0.424915
7.0824,1.4192,0.425019
7.098,1.42072,0.425145
7.1136,1.42225,0.425288
7.1292,1.42376,0.42539
7.1448,1.42523,0.42546
7.1604,1.42672,0.425545
7.176,1.42818,0.425613
7.1916,1.42967,0.425706
7.2072,1.43113,0.425773
7.2228,1.43259,0.425843
7.2384,1.43406,0.425926
7.254,1.43554,0.426035
7.2696,1.43698,0.426097
7.2852,1.43842,0.426145
7.3008,1.43983,0.426169
7.3164,1.44122,0.42617
7.332,1.44263,0.426195
7.3476,1.44403,0.426224
7.3632,1.44542,0.426235
7.3788,1.44682,0.426262
7.3944,1.44822,0.42629
7.41,1.4496,0.426305
7.4256,1.45096,0.426286
7.4412,1.45229,0.426242
7.4568,1.45362,0.426189
7.4724,1.45494,0.42614
7.488,1.45627,0.426098
7.5036,1.45759,0.42606
7.5192,1.45893,0.426043
7.5348,1.46026,0.426018
7.5504,1.46157,0.425969
7.566,1.4629,0.425945
7.5816,1.46422,0.425925
7.5972,1.46554,0.425896
7.6128,1.46684,0.425856
7.6284,1.46812,0.425784
7.644,1.4694,0.425715
7.6596,1.47069,0.425667
7.6752,1.47198,0.425629
7.6908,1.47327,0.425585
7.7064,1.47455,0.425538
7.722,1.47582,0.425478
7.7376,1.4771,0.425433
7.7532,1.47835,0.425355
7.7688,1.47958,0.425251
7.7844,1.48082,0.425175
7.8,1.48207,0.425106
7.8156,1.4833,0.425018
7.8312,1.48451,0.42491
7.8468,1.48571,0.424785
7.8624,1.48688,0.42464
7.878,1.48807,0.424505
7.8936,1.48926,0.424384
7.9092,1.49041,0.424231
7.9248,1.49158,0.42409
7.9404,1.49274,0.423945
7.956,1.49389,0.423781
7.9716,1.49502,0.423613
7.9872,1.49618,0.423475
8.0028,1.49733,0.42333
8.0184,1.49847,0.423176
8.034,1.49961,0.423025
8.0496,1.50073,0.422856
8.0652,1.50185,0.422681
8.0808,1.50296,0.422513
8.0964,1.50407,0.422341
8.112,1.50519,0.422178
8.1276,1.5063,0.422012
8.1432,1.50741,0.421844
8.1588,1.5085,0.421665
8.1744,1.50959,0.42148
8.19,1.51068,0.421309
8.2056,1.51177,0.421132
8.2212,1.51286,0.420958
8.2368,1.51394,0.420774
8.2524,1.51501,0.420586
8.268,1.51608,0.4204
8.2836,1.51713,0.420198
8.2992,1.51818,0.419996
8.3148,1.51922,0.419787
8.3304,1.52025,0.419571
8.346,1.52127,0.419345
8.3616,1.52228,0.419113
8.3772,1.52331,0.418896
8.3928,1.52431,0.418664
8.4084,1.52531,0.41842
8.424,1.52631,0.418186
8.4396,1.5273,0.417954
8.4552,1.52831,0.417729
8.4708,1.52928,0.417481
8.4864,1.53026,0.417236
8.502,1.53123,0.416984
8.5176,1.5322,0.416728
8.5332,1.53315,0.416466
8.5488,1.53412,0.416224
8.5644,1.53508,0.415972
8.58,1.53602,0.415705
8.5956,1.53696,0.415435
8.6112,1.53789,0.415166
8.6268,1.53883,0.414901
8.6424,1.53977,0.414642
8.658,1.5407,0.41438
8.6736,1.54163,0.414118
8.6892,1.54256,0.413858
8.7048,1.54348,0.41359
8.7204,1.54439,0.413306
8.736,1.54527,0.413012
8.7516,1.54616,0.412713
8.7672,1.54703,0.412405
8.7828,1.5479,0.412103
8.7984,1.54877,0.411799
8.814,1.54964,0.411502
8.8296,1.55051,0.411207
8.8452,1.55138,0.410908
8.8608,1.55223,0.410599
8.8764,1.55306,0.410273
8.892,1.5539,0.409954
8.9076,1.55473,0.409626
8.9232,1.55556,0.409311
8.9388,1.55639,0.408991
8.9544,1.55721,0.408668
8.97,1.55803,0.408345
8.9856,1.55884,0.408015
9.0012,1.55966,0.407694
9.0168,1.56047,0.407368
9.0324,1.56127,0.407038
9.048,1.56207,0.406709
9.0636,1.56286,0.406375
9.0792,1.56367,0.406062
9.0948,1.56445,0.405715
9.1104,1.5652,0.405356
9.126,1.56595,0.404989
9.1416,1.56668,0.404615
9.1572,1.56741,0.404237
9.1728,1.56814,0.403863
9.1884,1.56887,0.403489
9.204,1.56958,0.403112
9.2196,1.57032,0.402746
9.2352,1.57103,0.40237
9.2508,1.57175,0.402001
9.2664,1.57247,0.40163
9.282,1.57318,0.401258
9.2976,1.57387,0.40087
9.3132,1.57457,0.40049
9.3288,1.57525,0.400097
9.3444,1.57592,0.399703
9.36,1.5766,0.39931
9.3756,1.57725,0.398905
9.3912,1.57792,0.39851
9.4068,1.57857,0.39811
9.4224,1.57922,0.397703
9.438,1.57986,0.397298
9.4536,1.5805,0.396889
9.4692,1.58112,0.396469
9.4848,1.58174,0.396053
9.5004,1.58236,0.395635
9.516,1.58297,0.395215
9.5316,1.58357,0.394788
9.5472,1.58416,0.394363
9.5628,1.58476,0.393942
9.5784,1.58535,0.393515
9.594,1.58595,0.393098
9.6096,1.58654,0.392672
9.6252,1.58712,0.392246
9.6408,1.58769,0.391815
9.6564,1.58826,0.391377
9.672,1.58881,0.390935
9.6876,1.58935,0.390493
9.7032,1.5899,0.390052
9.7188,1.59044,0.389611
9.7344,1.59097,0.38916
9.75,1.59148,0.388698
9.7656,1.59198,0.388235
9.7812,1.59249,0.387782
9.7968,1.59299,0.387321
9.8124,1.59349,0.386864
9.828,1.59397,0.3864
9.8436,1.59447,0.385941
9.8592,1.59495,0.385482
9.8748,1.59544,0.385024
9.8904,1.59592,0.384563
9.906,1.59639,0.3841
9.9216,1.59684,0.383627
9.9372,1.59731,0.383163
9.9528,1.59776,0.382693
9.9684,1.5982,0.382221
9.984,1.59864,0.381749
9.9996,1.59908,0.381279
10.0152,1.5995,0.380796
10.0308,1.59991,0.380312
10.0464,1.60032,0.379832
10.062,1.60073,0.379351
10.0776,1.60114,0.378874
10.0932,1.60153,0.378391
10.1088,1.60192,0.377903
10.1244,1.60229,0.377412
10.14,1.60266,0.376923
10.1556,1.60302,0.376428
10.1712,1.60337,0.375931
10.1868,1.60373,0.375441
10.2024,1.6041,0.374955
10.218,1.60445,0.374467
10.2336,1.6048,0.373976
10.2492,1.60515,0.373486
10.2648,1.60549,0.372999
10.2804,1.60585,0.372517
10.296,1.60621,0.372038
10.3116,1.60654,0.371552
10.3272,1.60688,0.371064
10.3428,1.60721,0.370578
10.3584,1.60754,0.370096
10.374,1.60788,0.369613
10.3896,1.6082,0.369129
10.4052,1.60852,0.368644
10.4208,1.60883,0.368156
10.4364,1.60913,0.36767
10.452,1.60944,0.367183
10.4676,1.60973,0.366696
10.4832,1.61003,0.366212
10.4988,1.61031,0.365722
10.5144,1.61059,0.365231
10.53,1.61087,0.364744
10.5456,1.61116,0.364261
10.5612,1.61144,0.363779
10.5768,1.61173,0.363297
10.5924,1.61201,0.362819
10.608,1.61229,0.362339
10.6236,1.61255,0.361854
10.6392,1.61282,0.361372
10.6548,1.61308,0.360892
10.6704,1.61333,0.360407
10.686,1.61356,0.359919
10.7016,1.61379,0.35943
10.7172,1.61402,0.358945
10.7328,1.61424,0.358457
10.7484,1.61447,0.357972
10.764,1.61471,0.357494
10.7796,1.61494,0.357014
10.7952,1.61515,0.356531
10.8108,1.61536,0.356048
10.8264,1.61557,0.355565
10.842,1.61577,0.355084
10.8576,1.61597,0.3546
10.8732,1.61615,0.354116
10.8888,1.61633,0.353632
10.9044,1.61651,0.353148
10.92,1.61668,0.352665
10.9356,1.61684,0.352181
10.9512,1.61701,0.351701
10.9668,1.61718,0.351222
10.9824,1.61735,0.350743
10.998,1.61751,0.350264
11.0136,1.61766,0.349786
11.0292,1.61782,0.349308
11.0448,1.61796,0.34883
11.0604,1.6181,0.348353
11.076,1.61823,0.347875
11.0916,1.61836,0.347398
11.1072,1.61848,0.346921
11.1228,1.6186,0.346445
11.1384,1.61871,0.34597
11.154,1.61882,0.345495
11.1696,1.61891,0.345019
11.1852,1.619,0.344544
11.2008,1.61908,0.34407
11.2164,1.61917,0.343598
11.232,1.61926,0.343127
11.2476,1.61934,0.342656
11.2632,1.61942,0.342186
11.2788,1.61949,0.341718
11.2944,1.61956,0.341249
11.31,1.61962,0.340782
11.3256,1.61967,0.340315
11.3412,1.61972,0.33985
11.3568,1.61976,0.339385
11.3724,1.6198,0.338921
11.388,1.61984,0.338459
11.4036,1.61989,0.337998
11.4192,1.61993,0.337538
11.4348,1.61995,0.337079
11.4504,1.61997,0.33662
11.466,1.61997,0.336163
11.4816,1.61997,0.335707
11.4972,1.61996,0.335252
11.5128,1.61994,0.334799
11.5284,1.61991,0.334347
11.544,1.61987,0.333897
11.5596,1.61983,0.333448
11.5752,1.61977,0.333001
11.5908,1.61972,0.332556
11.6064,1.61965,0.332114
11.622,1.61956,0.331674
11.6376,1.61948,0.331235
11.6532,1.6194,0.330797
11.6688,1.6193,0.330362
11.6844,1.6192,0.329929
11.7,1.6191,0.329497
11.7156,1.61899,0.329068
11.7312,1.61888,0.328641
11.7468,1.61877,0.328214
11.7624,1.61866,0.327788
11.778,1.61854,0.327366
11.7936,1.6184,0.326948
11.8092,1.61825,0.326535
11.8248,1.6181,0.326121
11.8404,1.61794,0.325712
11.856,1.61779,0.325301
11.8716,1.61764,0.324891
11.8872,1.61748,0.324484
11.9028,1.61731,0.324082
11.9184,1.61712,0.323684
11.934,1.61693,0.32329
11.9496,1.61674,0.322897
11.9652,1.61654,0.322508
11.9808,1.61633,0.32212
11.9964,1.61612,0.321737
12.012,1.6159,0.321357
12.0276,1.61567,0.32098
12.0432,1.61545,0.320603
12.0588,1.61522,0.320231
12.0744,1.61498,0.319861
12.09,1.61475,0.319491
12.1056,1.61451,0.319124
12.1212,1.61425,0.318765
12.1368,1.614,0.318407
12.1524,1.61373,0.318053
12.168,1.61345,0.317707
12.1836,1.61317,0.317364
12.1992,1.61288,0.317024
12.2148,1.61257,0.316695
12.2304,1.61225,0.316371
12.246,1.61192,0.316053
12.2616,1.61159,0.31574
12.2772,1.61125,0.31543
12.2928,1.6109,0.315124
12.3084,1.61055,0.314823
12.324,1.61019,0.314528
12.3396,1.60982,0.31424
12.3552,1.60945,0.313952
12.3708,1.60907,0.31367
12.3864,1.60869,0.313389
12.402,1.60831,0.31311
12.4176,1.60792,0.312837
12.4332,1.60753,0.312565
12.4488,1.60714,0.312299
12.4644,1.60673,0.312044
12.48,1.6063,0.311801
12.4956,1.60586,0.311566
12.5112,1.60542,0.311336
12.5268,1.60497,0.311109
12.5424,1.60451,0.31089
12.558,1.60405,0.310675
12.5736,1.60359,0.310465
12.5892,1.60312,0.31026
12.6048,1.60263,0.31007
12.6204,1.60214,0.309882
12.636,1.60164,0.309697
12.6516,1.60114,0.309519
12.6672,1.60064,0.309345
12.6828,1.60013,0.309175
12.6984,1.59961,0.309017
12.714,1.59907,0.308873
12.7296,1.59853,0.308731
12.7452,1.59799,0.308594
12.7608,1.59745,0.308459
12.7764,1.5969,0.308332
12.792,1.59633,0.308217
12.8076,1.59576,0.308109
12.8232,1.5952,0.307998
12.8388,1.59461,0.307907
12.8544,1.59402,0.307822
12.87,1.59342,0.307745
12.8856,1.59281,0.307677
12.9012,1.5922,0.307614
12.9168,1.59158,0.307564
12.9324,1.59096,0.307512
12.948,1.59034,0.307461
12.9636,1.58971,0.307423
12.9792,1.58907,0.307387
12.9948,1.58842,0.307377
13.0104,1.58775,0.30738
13.026,1.58708,0.307384
13.0416,1.58642,0.307391
13.0572,1.58574,0.307407
13.0728,1.58506,0.307429
13.0884,1.58437,0.307461
13.104,1.58368,0.307497
13.1196,1.58298,0.30754
13.1352,1.58228,0.307585
13.1508,1.58158,0.307636
13.1664,1.58087,0.307705
13.182,1.58014,0.30779
13.1976,1.5794,0.307881
13.2132,1.57867,0.307976
13.2288,1.57793,0.308076
13.2444,1.57719,0.308182
13.26,1.57643,0.308304
13.2756,1.57567,0.308436
13.2912,1.5749,0.308582
13.3068,1.57413,0.308726
13.3224,1.57335,0.308879
13.338,1.57257,0.309036
13.3536,1.57179,0.309199
13.3692,1.571,0.309381
13.3848,1.5702,0.309571
13.4004,1.56939,0.309773
13.416,1.56858,0.309981
13.4316,1.56775,0.310202
13.4472,1.56692,0.310436
13.4628,1.56609,0.31067
