Position,Flux 
15.5,0
15.52,0
15.54,0
15.56,0
15.58,0
15.6,0
15.62,0
15.64,0
15.66,0
15.68,0
15.7,0
15.72,0
15.74,0
15.76,0
15.78,0
15.8,0
15.82,0
15.84,0
15.86,0
15.88,0
15.9,0
15.92,0
15.94,0
15.96,0
15.98,0
16,2.0232
16.02,1.9986
16.04,2.0316
16.06,2.0154
16.08,2.0586
16.1,1.9932
16.12,2.0478
16.14,2.0622
16.16,2.0232
16.18,2.094
16.2,2.0202
16.22,2.076
16.24,2.0022
16.26,2.0784
16.28,2.028
16.3,2.0172
16.32,1.9956
16.34,2.0886
16.36,2.097
16.38,2.0664
16.4,2.064
16.42,2.0634
16.44,2.0436
16.46,2.091
16.48,1.992
16.5,2.0076
16.52,2.0136
16.54,2.1066
16.56,2.0922
16.58,2.0706
16.6,2.0334
16.62,2.0886
16.64,2.0946
16.66,2.0382
16.68,2.0436
16.7,2.0064
16.72,2.0676
16.74,2.0742
16.76,2.0544
16.78,2.0658
16.8,2.0256
16.82,2.0166
16.84,2.0562
16.86,2.0592
16.88,2.0784
16.9,2.0556
16.92,2.046
16.94,2.0376
16.96,2.0196
16.98,2.0688
17,2.1156
17.02,2.0976
17.04,2.1252
17.06,2.115
17.08,2.0832
17.1,2.1384
17.12,2.136
17.14,2.0496
17.16,2.1624
17.18,2.1126
17.2,2.1372
17.22,2.1144
17.24,2.1522
17.26,2.1552
17.28,2.1384
17.3,2.1816
17.32,2.1564
17.34,2.2086
17.36,2.169
17.38,2.1168
17.4,2.1588
17.42,2.1114
17.44,2.247
17.46,2.1276
17.48,2.1792
17.5,2.2146
17.52,2.1666
17.54,2.1654
17.56,2.1582
17.58,2.1894
17.6,2.1708
17.62,2.175
17.64,2.1888
17.66,2.1696
17.68,2.2158
17.7,2.1834
17.72,2.1564
17.74,2.2146
17.76,2.2182
17.78,2.1468
17.8,2.136
17.82,2.2386
17.84,2.2716
17.86,2.169
17.88,2.1792
17.9,2.2062
17.92,2.2068
17.94,2.1552
