Position,Tally,,,
10.34,3397,,,
10.36,3618,,,
10.38,3547,,,
10.4,3609,,,
10.42,3619,,,
10.44,3533,,,
10.46,3451,,,
10.48,3565,,,
10.5,3492,,,
10.52,3550,,,
10.54,3568,,,
10.56,3569,,,
10.58,3605,,,
10.6,3512,,,
10.62,3578,,,
10.64,3618,,,
10.66,3686,,,
10.68,3668,,,
10.7,3564,,,
10.72,3564,,,
10.74,3648,,,
10.76,3776,,,
10.78,3599,,,
10.8,3619,,,
10.82,3741,,,
10.84,3708,,,
10.86,3728,,,
10.88,3782,,,
10.9,3703,,,
10.92,3705,,,
10.94,3749,,,
10.96,3821,,,
10.98,3728,,,
11,3713,,,
11.02,3868,,,
11.04,3732,,,
11.06,3638,,,
11.08,3733,,,
11.1,3783,,,
11.12,3775,,,
11.14,3711,,,
11.16,3762,,,
11.18,3823,,,
11.2,4021,,,
11.22,3764,,,
11.24,3908,,,
11.26,3818,,,
11.28,3775,,,
11.3,3747,,,
11.32,3746,,,
11.34,3632,,,
11.36,3787,,,
11.38,3944,,,
11.4,3907,,,
11.42,3775,,,
11.44,3954,,,
11.46,3913,,,
11.48,3914,,,
11.5,3795,,,
11.52,3839,,,
11.54,3827,,,
11.56,3916,,,
11.58,3865,,,
11.6,3745,,,
11.62,3845,,,
11.64,3940,,,
11.66,3867,,,
11.68,3954,,,
11.7,3862,,,
11.72,3822,,,
11.74,3897,,,
11.76,4001,,,
11.78,3900,,,
11.8,3830,,,
11.82,3864,,,
11.84,3989,,,
11.86,3889,,,
11.88,3830,,,
11.9,3956,,,
11.92,3844,,,
11.94,3979,,,
11.96,3951,,,
11.98,3932,,,
12,4029,,,
12.02,3940,,,
12.04,3973,,,
12.06,3874,,,
12.08,4032,,,
12.1,3899,,,
12.12,3903,,,
12.14,3945,,,
12.16,3869,,,
12.18,3845,,,
12.2,3835,,,
12.22,4002,,,
12.24,4023,,,
12.26,4016,,,
12.28,3933,,,
12.3,3900,,,
12.32,3981,,,
12.34,4005,,,
12.36,3863,,,
12.38,4014,,,
12.4,4046,,,
12.42,4061,,,
12.44,3978,,,
12.46,4032,,,
12.48,4046,,,
12.5,3948,,,
12.52,3977,,,
12.54,3971,,,
12.56,3980,,,
12.58,4074,,,
12.6,4058,,,
12.62,3891,,,
12.64,3997,,,
12.66,4011,,,
12.68,4059,,,
12.7,3963,,,
12.72,3991,,,
12.74,3960,,,
12.76,3846,,,
12.78,4034,,,
12.8,4064,,,
12.82,3941,,,
12.84,4035,,,
12.86,3886,,,
12.88,3994,,,
12.9,4066,,,
12.92,3984,,,
12.94,4039,,,
12.96,3996,,,
12.98,3962,,,
13,0,,,
13.02,0,,,
13.04,0,,,
13.06,0,,,
13.08,0,,,
13.1,0,,,
13.12,0,,,
13.14,0,,,
13.16,0,,,
13.18,0,,,
13.2,0,,,
13.22,0,,,
13.24,0,,,
13.26,0,,,
13.28,0,,,
13.3,0,,,
13.32,0,,,
13.34,0,,,
13.36,0,,,
13.38,0,,,
13.4,0,,,
13.42,0,,,
13.44,0,,,
13.46,0,,,
13.48,0,,,
13.5,0,,,
13.52,0,,,
13.54,0,,,
13.56,0,,,
13.58,0,,,
13.6,0,,,
13.62,0,,,
13.64,0,,,
13.66,0,,,
13.68,0,,,
13.7,0,,,
13.72,0,,,
13.74,0,,,
13.76,0,,,
13.78,0,,,
13.8,0,,,
13.82,0,,,
13.84,0,,,
13.86,0,,,
13.88,0,,,
13.9,0,,,
13.92,0,,,
13.94,0,,,
13.96,0,,,
13.98,0,,,
14,0,,,
14.02,0,,,
14.04,0,,,
14.06,0,,,
14.08,0,,,
14.1,0,,,
14.12,0,,,
14.14,0,,,
14.16,0,,,
14.18,0,,,
14.2,0,,,
14.22,0,,,
14.24,0,,,
14.26,0,,,
14.28,0,,,
14.3,0,,,
14.32,0,,,
14.34,0,,,
14.36,0,,,
14.38,0,,,
14.4,0,,,
14.42,0,,,
14.44,0,,,
14.46,0,,,
14.48,0,,,
14.5,0,,,
14.52,0,,,
14.54,0,,,
14.56,0,,,
14.58,0,,,
14.6,0,,,
14.62,0,,,
14.64,0,,,
14.66,0,,,
14.68,0,,,
14.7,0,,,
14.72,0,,,
14.74,0,,,
14.76,0,,,
14.78,0,,,
14.8,0,,,
14.82,0,,,
14.84,0,,,
14.86,0,,,
14.88,0,,,
14.9,0,,,
14.92,0,,,
14.94,0,,,
14.96,0,,,
14.98,0,,,
15,0,,,
15.02,0,,,
15.04,0,,,
15.06,0,,,
15.08,0,,,
15.1,0,,,
15.12,0,,,
15.14,0,,,
15.16,0,,,
15.18,0,,,
15.2,0,,,
15.22,0,,,
15.24,0,,,
15.26,0,,,
15.28,0,,,
15.3,0,,,
15.32,0,,,
15.34,0,,,
15.36,0,,,
15.38,0,,,
15.4,0,,,
15.42,0,,,
15.44,0,,,
15.46,0,,,
15.48,0,,,
15.5,0,,,
15.52,0,,,
15.54,0,,,
15.56,0,,,
15.58,0,,,
15.6,0,,,
15.62,0,,,
15.64,0,,,
15.66,0,,,
15.68,0,,,
15.7,0,,,
15.72,0,,,
15.74,0,,,
15.76,0,,,
15.78,0,,,
15.8,0,,,
15.82,0,,,
15.84,0,,,
15.86,0,,,
15.88,0,,,
15.9,0,,,
15.92,0,,,
15.94,0,,,
15.96,0,,,
15.98,0,,,
16,3241,,,
16.02,3432,,,
16.04,3396,,,
16.06,3378,,,
16.08,3386,,,
16.1,3335,,,
16.12,3390,,,
16.14,3250,,,
16.16,3376,,,
16.18,3382,,,
16.2,3379,,,
16.22,3379,,,
16.24,3356,,,
16.26,3325,,,
16.28,3437,,,
16.3,3372,,,
16.32,3506,,,
16.34,3484,,,
16.36,3361,,,
16.38,3482,,,
16.4,3436,,,
16.42,3401,,,
16.44,3484,,,
16.46,3314,,,
16.48,3334,,,
16.5,3441,,,
16.52,3507,,,
16.54,3435,,,
16.56,3465,,,
16.58,3450,,,
16.6,3381,,,
16.62,3332,,,
16.64,3460,,,
16.66,3438,,,
16.68,3413,,,
16.7,3356,,,
16.72,3461,,,
16.74,3377,,,
16.76,3389,,,
16.78,3469,,,
16.8,3458,,,
16.82,3369,,,
16.84,3457,,,
16.86,3495,,,
16.88,3479,,,
16.9,3483,,,
16.92,3402,,,
16.94,3426,,,
16.96,3376,,,
16.98,3381,,,
17,3381,,,
17.02,3253,,,
17.04,3615,,,
