K_eff is 1.00015
Position,Flux 
7.17336,6.01419
7.18997,6.01576
7.20657,6.01462
7.22318,6.01245
7.23978,6.01771
7.25639,6.0218
7.27299,6.02009
7.2896,6.01316
7.3062,5.99514
7.32281,5.99294
7.33941,5.98114
7.35602,5.97625
7.37262,5.96634
7.38923,5.98707
7.40583,5.98771
7.42244,5.97551
7.43904,5.97441
7.45565,5.96542
7.47225,5.97011
7.48886,5.95388
7.50546,5.94559
7.52207,5.94642
7.53867,5.94071
7.55528,5.93641
7.57188,5.93833
7.58849,5.93797
7.60509,5.93199
7.6217,5.93352
7.6383,5.91138
7.65491,5.91781
7.67151,5.9086
7.68812,5.90169
7.70472,5.89701
7.72133,5.90136
7.73793,5.88898
7.75454,5.89958
7.77114,5.8939
7.78775,5.88544
7.80435,5.88482
7.82096,5.87645
7.83756,5.86947
7.85417,5.86104
7.87077,5.86304
7.88738,5.83982
7.90398,5.82965
7.92059,5.82842
7.93719,5.82455
7.9538,5.81982
7.9704,5.81617
7.98701,5.81212
8.00361,5.81043
8.02022,5.80964
8.03682,5.81797
8.05343,5.80864
8.07003,5.80514
8.08664,5.79152
8.10324,5.7774
8.11985,5.76731
8.13645,5.75925
8.15306,5.7588
8.16966,5.75822
8.18627,5.74394
8.20287,5.73267
8.21948,5.71779
8.23608,5.70826
8.25269,5.71207
8.26929,5.70447
8.2859,5.70441
8.3025,5.67976
8.31911,5.68018
8.33571,5.65858
8.35232,5.64856
8.36892,5.64454
8.38553,5.64474
8.40213,5.63301
8.41874,5.61613
8.43534,5.61621
8.45195,5.60384
8.46855,5.59202
8.48516,5.60449
8.50176,5.57858
8.51837,5.58196
8.53497,5.56975
8.55158,5.55615
8.56818,5.54199
8.58479,5.53595
8.60139,5.53372
8.618,5.52618
8.6346,5.53042
8.65121,5.51135
8.66781,5.50537
8.68442,5.49942
8.70102,5.49307
8.71763,5.48124
8.73423,5.47915
8.75084,5.47952
8.76744,5.46645
8.78405,5.46952
8.80065,5.44826
8.81726,5.44502
8.83386,5.44525
8.85047,5.43449
8.86707,5.41281
8.88368,5.41196
8.90028,5.40755
8.91689,5.39035
8.93349,5.3949
8.9501,5.37983
8.9667,5.37559
8.98331,5.35698
8.99991,5.34326
9.01652,5.33317
9.03312,5.32192
9.04973,5.3139
9.06633,5.29735
9.08294,5.29653
9.09954,5.2816
9.11615,5.26932
9.13275,5.25932
9.14936,5.25001
9.16596,5.2355
9.18257,5.21699
9.19917,5.21123
9.21578,5.19189
9.23238,5.18338
9.24899,5.18787
9.26559,5.16909
9.2822,5.15713
9.2988,5.12712
9.31541,5.12224
9.33201,5.1088
9.34862,5.10769
9.36522,5.08779
9.38183,5.07129
9.39843,5.05203
9.41504,5.03746
9.43164,5.02408
9.44825,5.01546
9.46485,5.00912
9.48146,4.99858
9.49806,4.98598
9.51467,4.96682
9.53127,4.95289
9.54788,4.94006
9.56448,4.92191
9.58109,4.90552
9.59769,4.88638
9.6143,4.87058
9.6309,4.8552
9.64751,4.85472
9.66411,4.84854
9.68072,4.83035
9.69732,4.8129
9.71393,4.78711
9.73053,4.7726
9.74714,4.7597
